Title,Description,Campus,Research categories,Citizenship requirements,Preferred major(s),Desired experience,School/Dept.,Professor,More Info URL
Characterization of Liquid Sprays in a Small-Scale Annular Gas Turbine,"Liquid fuel injection plays a critical role in the performance of small-scale gas turbines. During ignition, the droplet size distribution of the injected fuel strongly influences combustion. This project focuses on quantifying and optimizing the spray distribution using a custom-built test rig designed to replicate realistic engine operating conditions. Experimental techniques such as backlit imaging and digital in-line holography are used to characterize the spray and particle size distributions.",West Lafayette,Other,U.S. Citizen,Mechanical Engineering Aeronautical and Astronautical Engineering,"•	Be available to work in person over the summer.
•	Have experience with MATLAB programming, including data post-processing and, ideally, parallel processing toolboxes.
•	Be proficient with SolidWorks or similar CAD modeling and assembly creation software
•	Have prior experience, or strong interest, in the design and construction and operation of fluid or experimental systems.",School of Mechanical Engineering,Daniel Guildenbecher,
Experimental Solid Particle Erosion Testing,"Sand and other particulate are unavoidably ingested into aeroengines operating in harsh environments. Within a compressor, Solid Particle Erosion increases tip losses and degrades aero performance. Current understanding of this erosion is derived from single particle impacts or rig-dependent empirical testing. The project will focus on assembling and running our ground-based test facility to study erosion at flight relevant conditions in Zucrow Labs Building 9. Possible research tasks include facility assembly, performance mapping, optical diagnostics, particle flow verification, CAD (NX), P&ID (Visio), component sourcing, coding (Python), etc.",West Lafayette,Other,"U.S. Citizen, U.S. Permanent Resident",Mechanical Engineering Aeronautical and Astronautical Engineering,"•	Possess a strong interest and desire for hands-on experimental activities
•	Be available to work in person over the summer.
•	Be proficient with SolidWorks or similar CAD modeling and assembly creation software
•	Have prior experience, or strong interest, in the design and construction and operation of fluid or experimental systems.",School of Mechanical Engineering,Daniel Guildenbecher,
AI-driven smart monitoring and data analytics,"This project is about sound-based and AI-driven smart monitoring of machine and systems. Students will learn about IoT and AI along with monitoring technology, robotics, and data analytics. Students will work with a graduate students for research.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Fabrication and Robotics, Internet of Things (IoT)",No citizenship requirements,Industrial Engineering Mechanical Engineering Computer Engineering Computer Science,,School of Mechanical Engineering,Martin Jun,https://purduelamm.github.io/home/
AI-guided Drug Development,"The explosive growth of chemical data over the last two decades and the recent rise of artificial intelligence (AI) have converged, posing a revolution in drug discovery and development. One major hurdle, however, stems from the fact that most chemical data reside in a non-linear, high-dimensional manifold space, making it extremely difficult to extract chemical information mathematically and subsequently effectively utilize such information in machine learning and deep learning (ML/DL). Over the past few years, we have developed several novel concepts to effectively and accurately encode molecular information for predicting molecular properties. We have also developed generative ML/DL models to de novo-design drug molecules for achieving specific pharmacological effects. In particular, leveraging our unique interdisciplinary expertise in computational chemistry and mathematics, modeling and simulation, software development, and drug research, we have further expanded our research into drug development by integrating multi-omics information. In this SURF project, a student, ideally in chemistry, biochemistry, or biomedicinal engineering, with research experience in computational statistics and machine learning (Python, PyTorch, etc.), will work to implement manifold learning and utilize chemical data for designing drug molecules and products.",West Lafayette,"Big Data/Machine Learning, Other",No citizenship requirements,No Major Restriction,"Preferred but not required: chemistry, biochemistry, or biomedicinal engineering majors with research experience in computational statistics and machine learning (Python, PyTorch, etc.)",Department of Industrial and Molecular Pharmaceutics,Tonglei Li,
Additive Manufacturing of Energetic Materials,"The student will gain experience in additively manufacturing formulations relevant to energetic materials (i.e. propellants, pyrotechnics, explosives).",West Lafayette,Other,U.S. Citizen,No Major Restriction,Background in AM and/or polymer materials are beneficial.,School of Mechanical Engineering,Monique McClain,
Additive Manufacturing to Fabricate Pharmaceutical Tablets,"This project will demonstrate the use of Vibration Assisted Printing (VAP) to fabricate pharmaceutical tablets with tailored drug release profiles. VAP enables extrusion of extremely high-viscosity polymer–API formulations that are not accessible with conventional semi-solid extrusion methods, allowing greater formulation flexibility and geometric control. Purdue researchers will print proof-of-concept tablets with controlled infill, geometry, and multilayer compositions and evaluate their printing fidelity and release behavior. The results will establish VAP as a promising manufacturing approach for customizable modified-release pharmaceutical products.",West Lafayette,Other,"U.S. Citizen, U.S. Permanent Resident",No Major Restriction,Experience with additive manufacturing encouraged,School of Mechanical Engineering,Steven Son,https://www.tandfonline.com/doi/full/10.3109/03639045.2015.1120743#d1e149
Adhesion Problems in Plant Cell Biomechanics,In the project a summer research project will contribute to a research group effort to advance the understanding of adhesion between plant cells in maintaining structural integrity of plant leaves. Such integrity is essential for plant survival. Mechanical Engineering skills in mechanics of materials and finite element analysis are essential for the analysis of adhesion problems. A student will use ImageJ for image processing and ABAQUS for model development and analysis. Skills from this project will translate well to the mechanics of engineered cellular solids as common in packaging applications.,West Lafayette,"Biological Characterization and Imaging, Biological Simulation and Technology, Material Modeling and Simulation",No citizenship requirements,Mechanical Engineering,"Desired: ME 323, ME 489",School of Mechanical Engineering,Thomas Siegmund,NA
Agentic AI in computational mechanics,The student will participate in the development of an Agentic AI system for computational mechanics that intends to automate finite element simulations.,West Lafayette,"Big Data/Machine Learning, Other",No citizenship requirements,No Major Restriction,,School of Mechanical Engineering,Hector Gomez,https://engineering.purdue.edu/gomez/
Air Quality modeling: Incorporating stable isotopes into the US-EPA CMAQ air quality model,"High performance computing is used to run sophisticated models, such as the EPA's CMAQ model, that predict air quality. These model, however, are difficult to evaluate because of limited observations. A growing set of observations of stable isotope abundances in atmospheric pollutants is available. However, current versions of CMAQ are not isotope enabled. The proposed research is to add stable isotopes in CMAQ and run simulations of the Negishi cluster at the Rosen Center for Advanced Computing (RCAC). Scripting language like bash or csh required. Some proficiency in R and/or python also helpful as well as use of ChatGPT.",West Lafayette,"Computer Architecture, Environmental Characterization",No citizenship requirements,Computer Science Computer and Information Technology Mathematics - Computer Science,"Computer programming, UNIX/CMD line scripting, bash/csh, python, R","Earth, Atmospheric and Planetary Sciences",Greg Michalski,
Application and impact of augmented reality on student learning and public engagement in engineering,A 30L Augment Reality (AR) virtual bioreactor developed in Unity needs to be optimized before implementing in the course. The student will test the AR virtual bioreactor using a Meta Quest 3 and improve it; assist literature review; locate and validate fermentation simulation data from literature and databases.,West Lafayette,"Biological Simulation and Technology, Learning and Evaluation",No citizenship requirements,No Major Restriction,"Purdue University students. Major/Minor includes STEM, education, psychology, or similar degrees, or high interest level in STEM education from other fields of study. The ideal student should be punctual, responsible, and responsive; strong at communication, writing, and data analysis skills; familiar with library database usage. Experience with literature review, biological process, and/or game development using Unity are preferred.",Division of Environmental and Ecological Engineering,Xinyu Zhang,
Artificial Intelligence for Musicians,"This project develops two mobile applications designed to support musicians: (1) Music Score Follower and Error Detector This app listens to live musical performance, tracks the performer’s location in the score in real time, and identifies performance errors such as incorrect notes, durations that are too long or too short, and other deviations. The development requires technologies including audio signal processing, user interface design, user experience evaluation, and mobile app engineering. (2) Posture Recommender This app analyzes video of musicians and provides personalized recommendations to improve playing posture. The development incorporates technologies such as computer vision, user interface design, user experience evaluation, and mobile app engineering.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Human Factors, Learning and Evaluation, Mobile Computing","No citizenship requirements, U.S. Citizen, U.S. Permanent Resident",Computer Science Computer Engineering Computer and Information Technology Computer Engineering Technology Data Science Electrical Engineering Electrical Engineering Technology,"Programming, machine learning",Elmore Family School of Electrical and Computer Engineering,Yung-Hsiang Lu,https://ai4musicians.org/
Assessing Radiation-Drug Interactions,"This project will evaluate how ionizing radiation interacts with various drugs with the intent to identify synergistic combinations  Some drugs can augment the sensitivity of tissues to radiation, making them potent for combination with radiotherapy for treatment of cancer.  Other drugs diminish the sensitivity of tissues to radiation, making them useful for protecting normal tissues from the harmful effects of radiation.  This project will evaluate a variety of radiation regimens (including spatial and temporal fractionation) in combination with various drugs to determine the optimal combination for a given application.  The student’s role on this project could include a variety of tasks, including quality assurance of the X-ray irradiator, measurements of delivered radiation dose in cells and tissues, and assessment of the biologic effects of radiation in combination with pharmaceuticals.",West Lafayette,Other,No citizenship requirements,No Major Restriction,,Health Sciences,Matthew Scarpelli,https://hhs.purdue.edu/scarpellilab/ 
Atomistic modeling of radiation damage in semiconductors,"Understanding how radiation interacts with materials is increasingly important for technologies operating in extreme environments such as space systems, nuclear energy, and radiation-hardened electronics. High-energy particles can create permanent atomic-scale damage that alters material performance in ways that are difficult to study experimentally. Molecular dynamics simulations provide a powerful approach for modeling these processes directly. This project uses molecular dynamics simulations to study how high-energy nuclei interact with semiconductor and metallic materials, with a focus on the formation of permanent radiation damage. The work will examine how interfaces, defects, and other microstructural features influence damage creation and evolution, helping connect atomic-scale mechanisms to material behavior. The student will play an active role in designing and running radiation damage simulations, defining simulation inputs, selecting material systems, and analyzing collision cascades and defect formation. Through this work, the student will develop practical skills in molecular dynamics, scientific programming, and data analysis while gaining experience working with modern computational research tools. By the end of the project, the student will have hands-on experience in computational materials research and radiation damage modeling, contributing to efforts to design materials and electronic components that are more resilient to radiation.",West Lafayette,Material Modeling and Simulation,No citizenship requirements,Computer Science Aeronautical and Astronautical Engineering Mechanical Engineering Materials Engineering,"▪ Be available to work in person over the summer. ▪ Have experience with Python, or similar programming tools for data analysis or computational tasks. ▪ Be comfortable learning new software tools and working with structured input/output data. ▪ Have interest in workflow automation, scientific computing, or engineering simulations. ▪ Be able to document results clearly and communicate findings effectively. ▪ Experience with the LAMMPS software package is preferred.",School of Materials Engineering,Alejandro Strachan,https://www.strachanlab.org/
"Automated Characterization Platform for Beyond-Silicon ""CMOS+X"" AI Hardware Prototypes","I. Project Vision and Background The rapid growth of artificial intelligence (AI), especially with large foundation models, is driving urgent demand for new, energy-efficient AI hardware built not only with advanced silicon CMOS, but also with next-generation transistor and memory device technologies in three-dimensional (3D) integrated ""CMOS+X"" systems, through monolithic 3D integration and advanced packaging. A key bottleneck in this exciting ""lab-to-fab"" transition to real-world impact is fast and robust characterization and testing of these CMOS+X dies, packaged chips, and multi-chip systems. 2. What Will You Do? In Summer 2026, the SURF researcher will gain hands-on laboratory experience at Purdue’s Birck Nanotechnology Center, working with a National Instruments (NI) PXIe characterization system that integrates multiple modules (embedded FPGA, digital pattern instrument, and 10‑pA precision SMU). The student will help develop a comprehensive testing+analysis software framework to enable robust and high-performance testing and validation of AI hardware prototypes (silicon CMOS + emerging devices, with 3D integration). 3. Project Phases Phase 1 (engineering foundation): Build an automated testing framework - Develop a robust, reusable automation framework for chip characterization using the NI-PXIe characterization system. - Contribute to PCB design/testing related tasks for the silicon and CMOS+X hardware prototypes from the team. Phase 2 (exploratory): Build an LLM-powered AI copilot as the “Digital Twin” - Explore APIs to build LLM-based agent/copilot with the automated testing workflow wrapped in its ""sandbox"". - Explore this ""digital twin"" approach to accelerate testing, data analytics, and debugging.",West Lafayette,"Advanced Packaging, Big Data/Machine Learning, Computer Architecture, Deep Learning, Heterogeneous Integration, Microelectronics, Nanotechnology, System-on-a-Chip",No citizenship requirements,No Major Restriction,"1. Relevant curriculum and/or project training and background: semiconductors, VLSI, computer engineering, machine learning, automatic control.

2. Skillsets: 
- Programming skills (e.g., Python, LabView)

- PCB board design and testing

- Prototyping experience with PCB/FPGA

- Software development

- LLM-based agentic workflow/framework development (with commercial tool API or open-source models)",Elmore Family School of Electrical and Computer Engineering,Haitong Li,https://engineering.purdue.edu/NanoX/
Automated Radio Evaluation Suite: Modular Testing Architecture,"Next-generation communication systems demand precise, repeatable RF testing. Although commercial automation tools exist, they’re often out of reach for research labs, which end up using manual workflows that are slow and prone to error. The Automated Radio Evaluation Suite (ARES) addresses this gap with an open-source, MATLAB-based platform that automates power-amplifier and antenna characterization. The platform uses a set of DC power supplies, signal generators, signal analyzers, and vector network analyzers (VNA) to characterize devices. For amplifiers, it measures gain, efficiency, power, and linearity. For antennas, it supports return loss, absolute gain, and realized gain radiation-pattern measurements using a known reference or dual-antenna methods. This work advances ARES from a function-oriented architecture where measurement logic was tightly coupled to specific instrument sets to an object-oriented design with abstract interfaces for instrument control. As VISA/SCPI commands are model-specific, using a modular architecture will allow for drop-in support of new instrument command sets without invasive code changes by encapsulating instruments in modular driver controllers. The new architecture potentially enables simulated instruments, bypassing VISA drivers when virtually testing and debugging new features. Collectively, these enhancements expand device compatibility and accelerate data collection and visualization.",West Lafayette,"Microelectronics, Other",No citizenship requirements,Electrical Engineering Computer Engineering,"MATLAB, Python, RF engineering courses (optional), lab instrumentation",Elmore Family School of Electrical and Computer Engineering,Dimitrios Peroulis,https://aresapp.readthedocs.io/latest/home.html
Battery safety for electrified aircraft,"Battery fire safety research is critical for aviation electrification because aircraft operate under stringent safety, weight, and reliability constraints, where a single battery failure can have catastrophic consequences. High-energy-density batteries enable longer-range electric or hybrid-electric flight, but they also raise the risk of thermal runaway—a self-accelerating failure process in which heat, gas, and flammable materials are rapidly released. To study battery fire safety, our lab investigates thermal runaway mechanisms under various abuse conditions, such as mechanical damage (crush, puncture), electrical abuse (overcharge, over-discharge, short circuit), and thermal abuse (external heating, high ambient temperature). This involves controlled experiments on cells, modules, and packs to measure temperature, pressure, gas composition, and flame behavior, combined with high-speed imaging and diagnostic tools to capture failure progression. The experimental data are then used to develop and validate physics-based and computational models that predict when and how thermal runaway will occur, how it propagates between cells, and how effective different mitigation strategies are—such as improved cell design, thermal management, venting, fire suppression, and containment systems tailored for aircraft environments.",West Lafayette,Energy and Environment,"No citizenship requirements, U.S. Citizen, U.S. Permanent Resident",No Major Restriction,"passional for aviation sustainability, hands-on in the lab is desired but not required, good team work spirit.",School of Aeronautics and Astronautics,Li Qiao,qiaoresearchgroup.com
Behavior and analysis of structural connections under earthquake,"Structural connections are a key component of buildings and bridges, responsible for safely transferring forces between structural elements. Their performance during extreme events such as earthquakes is critical to overall structural safety. This project offers undergraduate students a hands-on introduction to the design and evaluation of earthquake-resistant structural connections. The student will work closely with graduate students, laboratory technicians, and faculty to develop experimental setups, fabricate test specimens, and conduct laboratory testing on small- and large-scale structural components. In parallel, the student will gain exposure to numerical modeling by assisting with finite element simulations to better understand load transfer and failure mechanisms. The project emphasizes both technical and professional development. Students will present their work in a poster format and may have the opportunity to contribute as a co-author on a research publication, providing valuable preparation for graduate studies or industry careers.",West Lafayette,"Engineering the Built Environment, Material Modeling and Simulation, Other",No citizenship requirements,No Major Restriction,,Lyles School of Civil Engineering,Akanshu Sharma,https://www.akanshusharma.com/
Behavior of structural connections under earthquake,"Structural connections are a key component of buildings and bridges, responsible for safely transferring forces between structural elements. Their performance during extreme events such as earthquakes is critical to overall structural safety. This project offers undergraduate students a hands-on introduction to the design and evaluation of earthquake-resistant structural connections. The student will work closely with graduate students, laboratory technicians, and faculty to develop experimental setups, fabricate test specimens, and conduct laboratory testing on small- and large-scale structural components. In parallel, the student will gain exposure to numerical modeling by assisting with finite element simulations to better understand load transfer and failure mechanisms. The project emphasizes both technical and professional development. Students will present their work in a poster format and may have the opportunity to contribute as a co-author on a research publication, providing valuable preparation for graduate studies or industry careers.",West Lafayette,"Engineering the Built Environment, Material Modeling and Simulation, Other",No citizenship requirements,No Major Restriction,,Lyles School of Civil Engineering,Akanshu Sharma,https://www.akanshusharma.com/
